,country,economy_overview
10,Arctic Ocean,"Economic activity is limited to the exploitation of natural resources, including petroleum, natural gas, fish, and seals."
11,Argentina,"Argentina benefits from rich natural resources, a highly literate population, an export-oriented agricultural sector, and a diversified industrial base. Although one of the world's wealthiest countries 100 years ago, Argentina suffered during most of the 20th century from recurring economic crises, persistent fiscal and current account deficits, high inflation, mounting external debt, and capital flight. In 2016, the World Bank downgraded Argentina from a high-income to upper-middle-income economy, on par with Columbia.A severe depression, growing public and external indebtedness, and an unprecedented bank run culminated in 2001 in the most serious economic, social, and political crisis in the country's turbulent history. Interim President Adolfo RODRIGUEZ SAA declared a default - at the time the largest ever - on the government's foreign debt in December of that year, and abruptly resigned only a few days after taking office. His successor, Eduardo DUHALDE, announced an end to the peso's decade-long 1-to-1 peg to the US dollar in early 2002. The economy bottomed out that year, with real GDP 18% smaller than in 1998 and almost 60% of Argentines below the poverty line. Real GDP rebounded to grow by an average 8.5% annually over the subsequent six years, taking advantage of previously idled industrial capacity and labor, and expansionary monetary and fiscal policies. Inflation also increased, however, during the administration of President Nestor KIRCHNER, which responded with price restraints on businesses, as well as export taxes and restraints, and beginning in 2007, with understating inflation data.Cristina FERNANDEZ DE KIRCHNER succeeded her husband as president in late 2007, and the rapid economic growth of previous years began to slow sharply the following year as government policies held back exports and the world economy fell into recession. The economy in 2010 rebounded strongly from the 2009 recession, but slowed in late 2011 even as the government continued to rely on expansionary fiscal and monetary policies, which kept inflation in the double digits.In order to deal with these problems, the government expanded state intervention in the economy: it nationalized the oil company YPF from Spain's Repsol, expanded measures to restrict imports, and further tightened currency controls in an effort to bolster foreign reserves and stem capital flight. Between 2011 and 2013, Central Bank foreign reserves dropped $21.3 billion from a high of $52.7 billion. In July 2014, Argentina and China agreed on an $11 billion currency swap; the Argentine Central Bank has received the equivalent of $3.2 billion in Chinese yuan, which it counts as international reserves.With the election of President Mauricio MACRI in November 2015, Argentina began a historic political and economic transformation, as his administration took steps to liberalize the Argentine economy, lifting capital controls, floating the peso, removing export controls on some commodities, cutting some energy subsidies, and reforming the country’s official statistics. Argentina negotiated debt payments with holdout bond creditors and returned to international capital markets in April 2016. In September 2016, Argentina completed its first IMF Article IV Consultation since 2006.After years of international isolation, Argentina has taken on several international leadership roles in 2017, including hosting the World Economic Forum on Latin America and the World Trade Organization Ministerial Conference, and is set to assume the presidency of the G-20 in 2018."
12,Armenia,"Under the old Soviet central planning system, Armenia developed a modern industrial sector, supplying machine tools, textiles, and other manufactured goods to sister republics, in exchange for raw materials and energy. Armenia has since switched to small-scale agriculture and away from the large agro industrial complexes of the Soviet era. Armenia has only two open trade borders - Iran and Georgia - because its borders with Azerbaijan and Turkey have been closed since 1991 and 1993, respectively, as a result of Armenia's ongoing conflict with Azerbaijan over the separatist Nagorno-Karabakh region.Armenia joined the World Trade Organization in January 2003. The government has made some improvements in tax and customs administration in recent years, but anti-corruption measures have been largely ineffective. Armenia will need to pursue additional economic reforms and strengthen the rule of law in order to raise its economic growth and improve economic competitiveness and employment opportunities, especially given its economic isolation from Turkey and Azerbaijan.Armenia's geographic isolation, a narrow export base, and pervasive monopolies in important business sectors have made it particularly vulnerable to deteriorations in the global commodity markets and the economic challenges in Russia. Armenia is particularly dependent on Russian commercial and governmental support, as most key Armenian infrastructure is Russian-owned and/or managed, especially in the energy sector. Remittances from expatriates working in Russia are equivalent to about 7-8% of GDP. Armenia joined the Russia-led Eurasian Economic Union in January 2015, but has expressed interest in expanding its economic ties with the European Union as well, and in March 2017 an EU-Armenia Comprehensive and Enhanced Partnership Agreement was initiated. Armenia’s rising government debt is leading Yerevan to tighten its fiscal policies – the debt almost reached the debt to GDP threshold set by national legislation as of March 2017."
13,Aruba,"Tourism, petroleum bunkering, hospitality, and financial and business services are the mainstays of the small open Aruban economy.Tourism accounts for a majority of economic activity; as of 2014, over 1.7 million tourists visited Aruba annually, with the large majority of those from the US. The rapid growth of the tourism sector has resulted in a substantial expansion of other activities. Construction continues to boom, especially in the hotel sector.Aruba is heavily dependent on imports and is making efforts to expand exports to improve its trade balance. Almost all consumer and capital goods are imported, with the US, the Netherlands, and Panama being the major suppliers.In 2016, Citgo Petroleum Corporation, an indirect wholly owned subsidiary of Petroleos de Venezuela SA, and the Government of Aruba signed an agreement to restart Valero Energy Corp.'s former 235,000-b/d refinery . Tourism and related industries have continued to grow, and the Aruban government is working to attract more diverse industries. Aruba's banking sector continues to be a strong sector; unemployment has significantly decreased."
14,Ashmore and Cartier Islands,no economic activity
15,Atlantic Ocean,"The Atlantic Ocean provides some of the world's most heavily trafficked sea routes, between and within the Eastern and Western Hemispheres. Other economic activity includes the exploitation of natural resources, e.g., fishing, dredging of aragonite sands (The Bahamas), and production of crude oil and natural gas (Caribbean Sea, Gulf of Mexico, and North Sea)."
16,Australia,"Following two decades of continuous growth, low unemployment, contained inflation, very low public debt, and a strong and stable financial system, Australia enters 2017 facing a range of growth constraints, principally driven by the sharp fall in global prices of key export commodities. Demand for resources and energy from Asia and especially China has stalled and sharp drops in current prices have impacted growth.The services sector is the largest part of the Australian economy, accounting for about 70% of GDP and 75% of jobs. Australia was comparatively unaffected by the global financial crisis as the banking system has remained strong and inflation is under control.Australia benefited from a dramatic surge in its terms of trade in recent years, although this trend has reversed due to falling global commodity prices. Australia is a significant exporter of natural resources, energy, and food. Australia's abundant and diverse natural resources attract high levels of foreign investment and include extensive reserves of coal, iron, copper, gold, natural gas, uranium, and renewable energy sources. A series of major investments, such as the US$40 billion Gorgon Liquid Natural Gas Project, will significantly expand the resources sector.Australia is an open market with minimal restrictions on imports of goods and services. The process of opening up has increased productivity, stimulated growth, and made the economy more flexible and dynamic. Australia plays an active role in the WTO, APEC, the G20, and other trade forums. Australia’s free trade agreement (FTA) with China entered into force in 2015, adding to existing FTAs with the Republic of Korea, Japan, Chile, Malaysia, New Zealand, Singapore, Thailand, and the US, and a regional FTA with ASEAN and New Zealand. Australia continues to negotiate bilateral agreements with India and Indonesia, as well as larger agreements with its Pacific neighbors and the Gulf Cooperation Council countries, and an Asia-wide Regional Comprehensive Economic Partnership that includes the 10 ASEAN countries and China, Japan, Korea, New Zealand and India."
17,Austria,"Austria, with its well-developed market economy, skilled labor force, and high standard of living, is closely tied to other EU economies, especially Germany's. Its economy features a large service sector, a relatively sound industrial sector, and a small, but highly developed agricultural sector.Economic growth has been relatively weak in recent years, approaching 0.9% in 2015, but rising to 1.4% in 2016. Austria's 5.8% unemployment rate, while low by European standards, is at its highest rate since the end of World War II, driven by an increased number of refugees and EU migrants entering the labor market. Without extensive vocational training programs and generous early retirement, the unemployment rate would be even higher.Although Austria's fiscal position compares favorably with other euro-zone countries, it faces several external risks, such as unexpectedly weak world economic growth threatening the export market, Austrian banks' continued exposure to Central and Eastern Europe, repercussions from the Hypo Alpe Adria bank collapse, political and economic uncertainties caused by the European sovereign debt crisis, the current refugee crisis, and continued unrest in Russia/Ukraine. The budget deficit stood at 1.4% of GDP in 2016 and public debt reached a post-war high of 86.2% of the GDP in 2015."
18,Azerbaijan,"Prior to the decline in global oil prices since 2014, Azerbaijan's high economic growth was attributable to rising energy exports, and some non-export sectors also featured double-digit growth. Oil exports through the Baku-Tbilisi-Ceyhan Pipeline, the Baku-Novorossiysk, and the Baku-Supsa Pipelines remain the main economic driver, but efforts to boost Azerbaijan's gas production are underway. The expected completion of the geopolitically important Southern Gas Corridor between Azerbaijan and Europe will open up another source of revenue from gas exports. Declining oil prices caused a 3.8% contraction in GDP in 2016, reinforced by a sharp reduction in the construction sector. The economic decline has been accompanied by higher inflation and a weakened banking sector in the aftermath of the two sharp currency devaluations in 2015.Azerbaijan has made limited progress with market-based economic reforms. Pervasive public and private sector corruption and structural economic inefficiencies remain a drag on long-term growth, particularly in non-energy sectors, but the government has made efforts to combat corruption, particularly in customs and with the “ASAN” one-stop window concept for government services. Several other obstacles impede Azerbaijan's economic progress, including the need for more foreign investment in the non-energy sector and the continuing conflict with Armenia over the Nagorno-Karabakh region. While trade with Russia and the other former Soviet republics remains important, Azerbaijan has expanded trade with Turkey and Europe and is seeking new markets for non-oil/gas exports, mainly from the agricultural sector, for example with Gulf Cooperation Council member countries, the US, and others.Long-term prospects depend on world oil prices, Azerbaijan's ability to implement export routes for its growing gas production, and its ability to improve the business environment and diversify the economy. In late 2016, the President approved a strategic roadmap that identified key non-energy segments of the economy for development, such as agriculture, logistics, and tourism."
19,"Bahamas, The","The Bahamas has the second highest per capital GDP in the English-speaking Caribbean with an economy heavily dependent on tourism and international banking. Tourism accounts for approximately 75-80% of GDP and directly or indirectly employs half of the archipelago's labor force. Financial services constitute the second-most important sector of the Bahamian economy, accounting for about 15% of GDP. Manufacturing and agriculture combined contribute less than 7% of GDP and show little growth, despite government incentives aimed at those sectors. On January 1, 2015, the Government introduced a 7.5% Value Added Tax (VAT) on most goods and services, a measure designed to strengthen the fiscal balance sheet. In August 2016, Moody’s downgraded the Bahamas’ bond and issue ratings to Baa3 from Baa2 with a stable outlook, maintaining that rating in its February 2017 review. In December 2016, S&amp;P; downgraded the country to BB+ (speculative grade) from BBB- (investment grade) with a stable outlook based on projections of slow economic growth and the pace of debt accumulation. The Bahamas is the only country in the Western Hemisphere that is not a member of the World Trade Organization."
20,Bahrain,"Low oil prices have generated a budget deficit of at least a $4 billion deficit in 2016, nearly 14% of GDP. Bahrain has few options for covering this deficit, with meager foreign assets and a constrained borrowing ability. In the last year the three major US credit agencies downgraded Bahrain’s sovereign debt rating to “junk” status, citing persistently low oil prices and the government’s inability to more effectively cut spending.Oil comprises 86% of Bahraini budget revenues, despite past efforts to diversify its economy and to build communication and transport facilities for multinational firms with business in the Gulf. As part of its diversification plans, Bahrain implemented a Free Trade Agreement (FTA) with the US in August 2006, the first FTA between the US and a Gulf state.Other major economic activities are production of aluminum - Bahrain's second biggest export after oil - finance, and construction. Bahrain continues to seek new natural gas supplies as feedstock to support its expanding petrochemical and aluminum industries.In 2011, Bahrain experienced economic setbacks as a result of domestic unrest driven by the majority Shia population; however, the economy recovered in 2012-15, partly as a result of improved tourism. In addition to addressing its current fiscal woes, Bahraini authorities face the long-term challenge of boosting Bahrain’s regional competitiveness — especially regarding industry, finance, and tourism — and reconciling revenue constraints with popular pressure to maintain generous state subsidies and a large public sector. Over the past year, the government lifted subsidies on meat, diesel, kerosene, and gasoline and announced new higher prices for electricity and water, although it plans to roll these increases out more gradually than previous subsidy cuts."
21,Bangladesh,"Bangladesh's economy has grown roughly 6% per year since 1996 despite prolonged periods of political instability, poor infrastructure, endemic corruption, insufficient power supplies, and slow implementation of economic reforms. Although more than half of GDP is generated through the services sector, almost half of Bangladeshis are employed in the agriculture sector, with rice as the single-most-important product.Garment exports, the backbone of Bangladesh's industrial sector, accounted for more than 80% of total exports and surpassed $25 billion in 2016. The sector continues to grow, despite a series of high-profile factory accidents that have killed more than 1,000 workers and crippling strikes, including a nationwide transportation blockade orchestrated by the political opposition during the first several months of 2015. Steady export growth in the garment sector combined with remittances from overseas Bangladeshis - which totaled about $15 billion and 8% of GDP in 2015 - are key contributors to Bangladesh's sustained economic growth and rising foreign exchange reserves."
22,Barbados,"Barbados is the wealthiest and one of the most developed countries in the Eastern Caribbean and enjoys one of the highest per capita incomes in the region. Historically, the Barbadian economy was dependent on sugarcane cultivation and related activities. However, in recent years the economy has diversified into light industry and tourism. Offshore finance and information services are important foreign exchange earners, boosted by being in the same time zone as eastern US financial centers and by a relatively highly educated workforce. Following the 2008-09 recession, the economy has grown due to increases in tourist arrivals, construction, financial services and exports. However, Barbados’ high public debt to GDP ratio and falling international reserves remain areas of concern. Growth prospects are limited because of a weak economic outlook."
23,Belarus,"As part of the former Soviet Union, Belarus had a relatively well-developed, though aging industrial base; it retained this industrial base - which is now outdated, energy inefficient, and dependent on subsidized Russian energy and preferential access to Russian markets - following the breakup of the USSR. The country also has a broad agricultural base which is largely inefficient and dependent on government subsidies. After an initial burst of capitalist reform between 1991 and 1994, including privatization of smaller state enterprises and some service sector businesses, creation of institutions of private property, and development of entrepreneurship, Belarus' economic development greatly slowed. About 80% of all industry remains in state hands, and foreign investment has been hindered by a reluctance to welcome private investment absent joint ownership or affiliation with the state. A few businesses, which had been privatized after independence, were renationalized. State banks account for 75% of the banking sector.Economic output declined for several years following the collapse of the Soviet Union, but revived in the mid-2000s due to the boom in oil prices. Belarus has only small reserves of crude oil, though it imports most of its crude oil and natural gas from Russia at prices substantially below world market prices. Belarus then derives export revenue by refining Russian crude and selling it at market prices. In late 2006, Russia began a process of rolling back its subsidies on oil and gas exports to Belarus. Several times since, Russia and Belarus have had serious disagreements over the level and price of Russian energy supplies. At one point in 2010, Russia stopped the export of all subsidized oil to Belarus save for domestic needs before the two countries reached a deal to restart the export of discounted oil to Belarus. Beginning in early 2016, Russia claims Belarus began accumulating debt – reaching $740 million by April 2017 – for paying below an agreed price for Russian natural gas. Russia decided to reduce its export of crude oil as a result of the debt. In April 2017, Belarus agreed to pay its gas debt and Russia restored the flow of crude.New non-Russian foreign investment has been limited in recent years. In 2011, a financial crisis began, triggered by government-directed salary hikes, compounded by an increased cost in Russian energy inputs and an overvalued Belarusian ruble that lead to a nearly three-fold devaluation of the Belarusian ruble. In November 2011, Belarus agreed to sell to Russia its remaining shares of Beltransgaz, the Belarusian natural gas pipeline operator, in exchange for reduced prices for Russian natural gas. The situation stabilized in 2012, after Belarus received part of a $3 billion loan from the Russian-dominated Eurasian Economic Community Bailout Fund, a $1 billion loan from the Russian state-owned bank Sberbank, and $2.5 billion from the sale of Beltransgaz to Russian state-owned Gazprom; nevertheless, the Belarusian currency lost more than 60% of its value, as inflation reached new highs in 2011 and 2012, before calming in 2013. In December 2013, Russia announced a new loan for Belarus of up to $2 billion for 2014. Notwithstanding foreign assistance, the Belarusian economy continued to struggle under the weight of high external debt servicing payments and trade deficit. In mid-December 2014, structural economic shortcomings were aggravated by the devaluation of the Russian ruble, which triggered a near 40% devaluation of the Belarusian ruble.Since 2012, Belarus’s economy has suffered stagnation, which has led to widening productivity and income gaps between Belarus and neighboring countries. Since 2015, the Belarusian government has tightened its monetary policies (including allowing a more flexible exchange rate regime) and reduced subsidized government lending to state-owned industrial and agricultural enterprises, amid a drop in state budget revenues owing to falling global prices on key Belarusian export commodities - petroleum products and potash fertilizer. Belarus entered 2016 with a contracting economy and minimal hard currency reserves. GDP and foreign trade fell and unemployment rose, while inflation declined and hard currency reserves increased."
24,Belgium,"Belgium’s central geographic location and highly developed transport network have helped develop a well-diversified economy, with a broad mix of transport, services, manufacturing, and high tech. Industry is concentrated mainly in the more heavily-populated region of Flanders in the north. Belgium is 100% reliant on foreign sources of fossil fuels, and the planned closure of its seven nuclear plants by 2025 should increase its dependence on foreign energy. Its role as a regional logistical hub makes its economy vulnerable to shifts in foreign demand, particularly with EU trading partners. Roughly three-quarters of Belgium's trade is with other EU countries.Belgium’s GDP grew by 1.4% in 2016, unemployment at yearend was 8.4%, and the budget deficit was 2.7% of GDP. The economy largely recovered from the March 2016 terrorist attacks, which mainly impacted the Brussels region tourist and hospitality industry. Prime Minister Charles MICHEL's center-right government has pledged to further reduce the deficit in response to EU pressure to decrease Belgium's high public debt of about 107% of GDP, but such efforts could also dampen economic growth. In addition to restrained public spending, low wage growth and higher inflation promise to curtail a more robust recovery in private consumption.The government has pledged to pursue a reform program to improve Belgium’s competitiveness, including changes to tax policy, labor market rules, and welfare benefits. These changes have generally made Belgian wages more competitive regionally, but risk worsening tensions with trade unions and triggering extended strikes."
25,Belize,"Tourism is the number one foreign exchange earner in this small economy, followed by exports of sugar, bananas, citrus, marine products, and crude oil.The government's expansionary monetary and fiscal policies, initiated in September 1998, led to GDP growth averaging nearly 4% in 1999-2007, however GDP growth slowed to 1% in 2015, and 0% in 2016. Oil discoveries in 2006 bolstered this growth and oil exploration continues, but production has fallen in recent years and future oil revenues remain uncertain and are offset by Belize’s growing imports of refined oil.Although Belize has the third highest per capita income in Central America, the average income figure masks a huge income disparity between rich and poor, and a key government objective remains reducing poverty and inequality with the help of international donors. High unemployment, a growing trade deficit and heavy foreign debt burden continue to be major concerns. Belize faces continued pressure from rising sovereign debt, and a growing trade imbalance."
